sample,n_loci,n_used_fw_reads,mean_cov,mean_cov_ns,Espece,Gen_ZONE,Raw
PB_1644,135562,1461817,10.783,13.406,Pb,SFA-6,8168889
PB_1644_precEtOH,133028,1305293,9.812,12.213,Pb,SFA-6,7180422
PB_1645,118101,909727,7.703,9.127,Pb,SFA-6,4984796
PB_1645_precEtOH,129961,1316164,10.127,12.773,Pb,SFA-6,7257191
Pb_0001,134688,1605804,11.922,14.943,Pb,SFA-7,8335843
Pb_0002,128480,1658741,12.91,15.829,Pb,SFA-7,8727306
Pb_0003,125818,1091778,8.677,10.571,Pb,SFA-7,5742790
Pb_0005,144650,3172091,21.929,28.212,Pb,SFA-7,17221737
Pb_0006,62136,1046385,16.84,20.227,Pb,SFA-7,5014456
Pb_0007,138770,2675513,19.28,24.662,Pb,SFA-7,14372740
Pb_0008,125558,1808557,14.404,18.149,Pb,SFA-7,9058492
Pb_0009,129358,1752501,13.548,16.568,Pb,SFA-7,10116978
Pb_0010,117884,859165,7.288,8.686,Pb,SFA-7,4579520
Pb_0011,125722,1860463,14.798,17.995,Pb,SFA-7,9949813
Pb_0012,108584,1306191,12.029,14.239,Pb,SFA-7,6313517
Pb_0013,123246,2001099,16.237,21.005,Pb,SFA-7,10980364
Pb_0014,115947,838644,7.233,8.518,Pb,SFA-7,4873531
Pb_0015,120448,1564378,12.988,15.5,Pb,SFA-7,8342542
Pb_0016,130417,1921116,14.731,18.035,Pb,SFA-7,10663522
Pb_0017,129004,2643249,20.49,26.567,Pb,SFA-7,13627611
Pb_0018,122663,2021630,16.481,20.765,Pb,SFA-7,10102833
Pb_0019,112644,914858,8.122,9.435,Pb,SFA-7,5101608
Pb_0020,117133,1725588,14.732,17.84,Pb,SFA-7,8330401
Pb_0021,127600,2114933,16.575,20.293,Pb,SFA-7,10938454
Pb_0022,143489,4205017,29.306,37.948,Pb,SFA-7,21897806
Pb_0023,118011,1853486,15.706,19.405,Pb,SFA-7,9318977
Pb_0025,119858,1797130,14.994,18.429,Pb,SFA-7,8752183
Pb_0026,135971,1678042,12.341,15.473,Pb,SFA-7,8743337
Pb_0027,126977,1377381,10.847,13.603,Pb,SFA-7,7320301
Pb_0028,136259,2533581,18.594,23.266,Pb,SFA-7,12925172
Pb_0029,118675,1724999,14.535,17.967,Pb,SFA-7,8520835
Pb_0030,117027,1795893,15.346,18.813,Pb,SFA-7,8918485
Pb_0031,109340,933108,8.534,9.962,Pb,SFA-7,4773292
Pb_0039,108785,1746205,16.052,19.027,Pb,SFA-15,8724668
Pb_0040,132618,1698540,12.808,15.852,Pb,SFA-15,8800096
Pb_0042,125569,1312339,10.451,12.645,Pb,SFA-15,7120120
Pb_0043,113319,2569011,22.671,27.798,Pb,SFA-15,12799542
Pb_0044,124214,2592205,20.869,27.095,Pb,SFA-15,14233571
Pb_0045,107903,1288818,11.944,13.912,Pb,SFA-15,6348414
Pb_0046,128402,1423782,11.088,13.799,Pb,SFA-15,7746841
Pb_0047,136076,2383053,17.513,22.011,Pb,SFA-15,13000984
Pb_0048,109590,1305162,11.909,14.184,Pb,SFA-15,6653611
Pb_0050,150181,2237757,14.9,20.073,Pb,SFA-15,11625635
Pb_0052,119217,1681030,14.101,18.081,Pb,SFA-15,8942145
Pb_0053,105110,658603,6.266,7.15,Pb,SFA-15,3565441
Pb_0056,148075,2503212,16.905,22.279,Pb,SFA-15,12896019
Pb_0057,136526,1629679,11.937,14.944,Pb,SFA-15,8763438
Pb_0059,135796,2047731,15.079,19.047,Pb,SFA-15,11022039
Pb_0060,133081,1954989,14.69,18.147,Pb,SFA-15,10278030
Pb_0061,129190,1150180,8.903,10.971,Pb,SFA-15,6066923
Pb_0062,141930,1592751,11.222,14.318,Pb,SFA-15,8402437
Pb_0064,133426,2781021,20.843,26.07,Pb,SFA-15,14237360
Pb_0065,111825,817618,7.312,8.428,Pb,SFA-15,4225248
Pb_0066,146730,1957446,13.34,17.483,Pb,SFA-15,10262800
Pb_0068,134164,2098776,15.643,19.654,Pb,SFA-15,10882471
Pb_0070,121876,1430158,11.735,14.002,Pb,SFA-15,7291026
Pb_0071,107267,700741,6.533,7.444,Pb,SFA-15,3599457
Pb_0073,125542,2547414,20.291,25.691,Pb,SFA-15,12811639
Pb_0074,128026,1482521,11.58,14.059,Pb,SFA-15,7525719
Pb_0075,132817,2121937,15.976,20.081,Pb,SFA-15,11046443
Pb_0076,136003,2072172,15.236,19.001,Pb,SFA-15,11094844
Pb_0077,130139,1416811,10.887,13.372,Pb,SFA-15,7990684
Pb_0108,123515,1624448,13.152,16.366,Pb,SFA-13,8163645
Pb_0109,112372,840573,7.48,8.684,Pb,SFA-13,4543412
Pb_0111,138959,2327091,16.747,21.515,Pb,SFA-13,12030695
Pb_0113,132307,1384280,10.463,12.895,Pb,SFA-13,7076891
Pb_0116,120461,1172443,9.733,11.513,Pb,SFA-13,6043554
Pb_0119,131178,1503033,11.458,14.231,Pb,SFA-13,7873636
Pb_0120,112287,835152,7.438,8.662,Pb,SFA-13,4186655
Pb_0121,125691,1447544,11.517,14.039,Pb,SFA-13,7582908
Pb_0123,122441,2385110,19.48,24.509,Pb,SFA-13,11653190
Pb_0128,127604,1263272,9.9,12.01,Pb,SFA-13,6680492
Pb_0130,128859,1313291,10.192,12.688,Pb,SFA-13,6968284
Pb_0132,119196,1264479,10.608,12.522,Pb,SFA-13,6871110
Pb_0135,123766,1262943,10.204,12.166,Pb,SFA-13,6846074
Pb_0136,133053,1635526,12.292,15.409,Pb,SFA-13,8598518
Pb_0137,117558,1324504,11.267,13.66,Pb,SFA-13,6843703
Pb_0139,115568,1362600,11.79,14.182,Pb,SFA-13,6687970
Pb_0141,138733,3585906,25.848,32.692,Pb,SFA-13,18593480
Pb_0142,117961,2216542,18.79,23.688,Pb,SFA-13,12053747
Pb_0143,139157,1992397,14.318,18.159,Pb,SFA-13,10464779
Pb_0145,125934,1556126,12.357,14.987,Pb,SFA-13,8567274
Pb_0146,144871,2089268,14.422,19.029,Pb,SFA-13,10926642
Pb_0147,134133,3453680,25.748,34.905,Pb,SFA-13,18983571
Pb_0148,129611,1636723,12.628,15.419,Pb,SFA-13,8624694
Pb_0149,121606,1251811,10.294,12.357,Pb,SFA-13,6666511
Pb_0150,121350,2444489,20.144,25.94,Pb,SFA-13,13231262
Pb_0151,138830,2819746,20.311,25.893,Pb,SFA-13,14674075
Pb_0152,126027,2627856,20.852,25.519,Pb,SFA-13,13419941
Pb_0153,131475,1566033,11.911,14.582,Pb,SFA-13,8074670
